date,time
14/03/2020,1
15/03/2020,2
16/03/2020,3
17/03/2020,4
18/03/2020,5
19/03/2020,6
20/03/2020,7
21/03/2020,8
22/03/2020,9
23/03/2020,10
24/03/2020,11
25/03/2020,12
26/03/2020,13
27/03/2020,14
28/03/2020,15
29/03/2020,16
30/03/2020,17
31/03/2020,18
01/04/2020,19
02/04/2020,20
03/04/2020,21
04/04/2020,22
05/04/2020,23
06/04/2020,24
07/04/2020,25
08/04/2020,26
09/04/2020,27
10/04/2020,28
11/04/2020,29
12/04/2020,30
13/04/2020,31
14/04/2020,32
15/04/2020,33
16/04/2020,34
17/04/2020,35
18/04/2020,36
19/04/2020,37
20/04/2020,38
21/04/2020,39
22/04/2020,40
23/04/2020,41
24/04/2020,42
25/04/2020,43
26/04/2020,44
27/04/2020,45
28/04/2020,46
29/04/2020,47
30/04/2020,48
01/05/2020,49
02/05/2020,50
03/05/2020,51
04/05/2020,52
05/05/2020,53
06/05/2020,54
07/05/2020,55
08/05/2020,56
09/05/2020,57
10/05/2020,58
11/05/2020,59
12/05/2020,60
13/05/2020,61
14/05/2020,62
15/05/2020,63
16/05/2020,64
17/05/2020,65
18/05/2020,66
19/05/2020,67
20/05/2020,68
21/05/2020,69
22/05/2020,70
23/05/2020,71
24/05/2020,72
25/05/2020,73
26/05/2020,74
27/05/2020,75
28/05/2020,76
29/05/2020,77
30/05/2020,78
31/05/2020,79
01/06/2020,80
02/06/2020,81
03/06/2020,82
04/06/2020,83
05/06/2020,84
06/06/2020,85
07/06/2020,86
08/06/2020,87
09/06/2020,88
10/06/2020,89
11/06/2020,90
12/06/2020,91
13/06/2020,92
14/06/2020,93
15/06/2020,94
16/06/2020,95
17/06/2020,96
18/06/2020,97
19/06/2020,98
20/06/2020,99
21/06/2020,100
22/06/2020,101
23/06/2020,102
24/06/2020,103
25/06/2020,104
26/06/2020,105
27/06/2020,106
28/06/2020,107
29/06/2020,108
30/06/2020,109
01/07/2020,110
02/07/2020,111
03/07/2020,112
04/07/2020,113
05/07/2020,114
06/07/2020,115
07/07/2020,116
08/07/2020,117
09/07/2020,118
10/07/2020,119
11/07/2020,120
12/07/2020,121
13/07/2020,122
14/07/2020,123
15/07/2020,124
16/07/2020,125
17/07/2020,126
18/07/2020,127
19/07/2020,128
20/07/2020,129
21/07/2020,130
22/07/2020,131
23/07/2020,132
24/07/2020,133
