date,Fallecidos_reales
2020-03-25,2
2020-03-30,3
2020-03-31,4
2020-04-03,5
2020-04-04,7
2020-04-06,9
2020-04-09,10
2020-04-12,14
2020-04-13,15
2020-04-14,17
2020-04-15,20
2020-04-16,24
2020-04-17,25
2020-04-18,28
2020-04-19,31
2020-04-20,33
2020-04-21,34
2020-04-22,36
2020-04-23,38
2020-04-26,39
2020-04-27,41
2020-04-28,42
2020-04-29,45
2020-04-30,46
2020-05-02,47
2020-05-04,50
2020-05-06,52
2020-05-07,54
2020-05-08,55
2020-05-09,56
2020-05-10,58
2020-05-11,62
2020-05-12,63
2020-05-13,65
2020-05-14,69
2020-05-17,71
2020-05-18,74
2020-05-19,76
2020-05-20,82
2020-05-21,83
2020-05-22,86
2020-05-23,88
2020-05-24,94
2020-05-25,98
2020-05-26,101
2020-05-27,105
2020-05-28,110
2020-05-29,116
2020-05-30,121
2020-05-31,126
2020-06-01,129
2020-06-02,133
2020-06-03,136
2020-06-04,138
2020-06-05,141
2020-06-06,147
2020-06-07,152
2020-06-08,160
2020-06-09,163
2020-06-10,164
2020-06-11,166
2020-06-12,171
2020-06-13,174
2020-06-14,182
2020-06-15,184
2020-06-16,191
2020-06-17,197
2020-06-18,201
2020-06-19,206
2020-06-20,217
2020-06-21,225
2020-06-22,229
2020-06-23,235
2020-06-24,241
2020-06-25,247
2020-06-26,252
2020-06-27,256
